External Library Name;Link to License;License Name;Copyright Notice Included (Yes/No);Source Code Included (Yes/No);Counsel LDAP and Authorization Date;repository_type;repository_URL;is_runtime;license_category
quote-1.0.38;https://raw.githubusercontent.com/dtolnay/quote/1.0.38/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/dtolnay/quote;NOT_KNOWN;notice
quote-1.0.44;https://raw.githubusercontent.com/dtolnay/quote/1.0.44/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/dtolnay/quote;NOT_KNOWN;notice
rand-0.8.5;https://raw.githubusercontent.com/rust-random/rand/0.8.5/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-random/rand;NOT_KNOWN;notice
rand-0.9.2;https://raw.githubusercontent.com/rust-random/rand/0.9.2/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-random/rand;NOT_KNOWN;notice
rand_chacha-0.3.1;https://raw.githubusercontent.com/rust-random/rand/0.3.1/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-random/rand;NOT_KNOWN;notice
rand_chacha-0.9.0;https://raw.githubusercontent.com/rust-random/rand/0.9.0/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-random/rand;NOT_KNOWN;notice
rand_core-0.6.4;https://raw.githubusercontent.com/rust-random/rand/0.6.4/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-random/rand;NOT_KNOWN;notice
rand_core-0.9.5;https://raw.githubusercontent.com/rust-random/rand/master/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-random/rand;NOT_KNOWN;notice
regex-1.12.3;https://raw.githubusercontent.com/rust-lang/regex/1.12.3/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-lang/regex;NOT_KNOWN;notice
regex-automata-0.4.14;https://raw.githubusercontent.com/rust-lang/regex/regex-automata-0.4.14/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-lang/regex;NOT_KNOWN;notice
regex-syntax-0.8.9;https://raw.githubusercontent.com/rust-lang/regex/regex-syntax-0.8.9/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-lang/regex;NOT_KNOWN;notice
reqwest-0.12.28;https://raw.githubusercontent.com/seanmonstar/reqwest/v0.12.28/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/seanmonstar/reqwest;NOT_KNOWN;notice
rules_kotlin-1.9.6;https://raw.githubusercontent.com/bazelbuild/rules_kotlin/v1.9.6/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazelbuild/rules_kotlin;NOT_KNOWN;notice
rules_oci-2.0.1;https://raw.githubusercontent.com/bazel-contrib/rules_oci/v2.0.1/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazel-contrib/rules_oci;NOT_KNOWN;notice
rules_proto-7.1.0;https://raw.githubusercontent.com/bazelbuild/rules_proto/7.1.0/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazelbuild/rules_proto;NOT_KNOWN;notice
rules_proto-7.1.0;https://raw.githubusercontent.com/bazelbuild/rules_proto/7.1.0/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazelbuild/rules_proto;NOT_KNOWN;notice
rules_python-1.5.3;https://raw.githubusercontent.com/bazel-contrib/rules_python/1.5.3/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazelbuild/rules_python;NOT_KNOWN;notice
rules_shell-0.6.1;https://raw.githubusercontent.com/bazelbuild/rules_shell/v0.6.1/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazelbuild/rules_shell;NOT_KNOWN;notice
rust-std-1.86.0;https://raw.githubusercontent.com/rust-lang/rust/refs/tags/1.86.0/LICENSE-MIT;MIT OR Apache-2.0;Yes;No;N/A;other;https://static.rust-lang.org/dist/rust-std-1.86.0-x86_64-unknown-linux-gnu.tar.xz;NOT_KNOWN;notice
rust-std-1.87.0;https://raw.githubusercontent.com/rust-lang/rust/refs/tags/1.87.0/LICENSE-MIT;MIT OR Apache-2.0;Yes;No;N/A;other;https://static.rust-lang.org/dist/rust-std-1.87.0-x86_64-unknown-linux-gnu.tar.xz;NOT_KNOWN;notice
